
2025/01/23 (22:33:14) | ===> btop++ v.1.4.0
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/23 (22:33:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/23 (22:33:44) | ===> btop++ v.1.4.0
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/23 (22:33:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (23:29:58) | ===> btop++ v.1.4.0
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/24 (23:29:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
